0:0|Kim tệ
3:100072|Bạch long châu
3:100073|Binh phù
3:100074|Cận trời bí chìa
3:100075|Hỏa tinh
3:100077|Cầu nguyện khiến
3:100084|Quân công
3:100089|Bảo rương bí chìa
3:100098|Long châu
3:100208|Thí luyện điểm tích lũy
3:100209|Mê cung điểm tích lũy
3:100211|Thang trời điểm tích lũy
3:100219|Công huân
3:100222|Đẳng cấp điểm tích lũy
3:100226|Bàn quay khoán
3:1000010|5 Tinh thông dụng anh linh
3:1000011|5 Tinh nhân tộc anh linh
3:1000012|5 Tinh Tiên Tộc anh linh
3:1000013|5 Tinh yêu tộc anh linh
3:1000014|5 Tinh Thần tộc anh linh
3:1000015|5 Tinh ma tộc anh linh
3:1000016|9 Tinh thông dụng anh linh
3:1000017|9 Tinh nhân tộc anh linh
3:1000018|9 Tinh Tiên Tộc anh linh
3:1000019|9 Tinh yêu tộc anh linh
3:1000020|9 Tinh Thần tộc anh linh
3:1000021|9 Tinh ma tộc anh linh
3:1000022|10 Tinh thông dụng anh linh
3:100040|Nhanh chóng tác chiến đặc quyền
3:100041|Đồ đằng Thánh Điện đặc quyền
3:100042|Treo thưởng cao cấp đặc quyền
3:100043|Treo thưởng hào Ward quyền
3:100045|Nữ Oa thạch
3:100046|Đúc lại đan
3:1000001|Nhỏ kim tệ túi (24 Giờ )
3:1000002|Ít kinh nghiệm túi (24 Giờ )
3:100053|Hoàng cấp tạp vật
3:100054|Huyền cấp tạp vật
3:100055|Địa cấp tạp vật
3:100056|Thiên cấp tạp vật
3:10022||Tạp vật
3:200027|Học tập điểm tích lũy
3:200028|Thần tượng điểm tích lũy
3:200029|Phòng ăn điểm tích lũy
3:200030|Âm Dương Ngư phù
3:200031|Công thành khiến
3:200032|Di chuyển khiến
3:200035|Bí đỏ đầu
3:200036|Manh chó khẩu phần lương thực
3:200037|Khai Thiên Phủ
3:200038|Danh vọng điểm tích lũy
3:200039|Bông tuyết
3:200040|Vảy rồng
3:900001|Cử thế vô song
3:900002|Khó gặp địch thủ
3:900003|Dũng quan tam quân
3:900004|Nội trắc dũng giả
3:900005|Phong thần dũng sĩ
3:900006|Ưu nhã quý tộc
3:900007|Siêu phàm đại sư
3:900008|Khinh thường tông sư
3:900009|Mạnh nhất vương giả
3:900010|Âu hoàng phụ thể
3:900011|Âu hoàng phụ thể
3:900012|Đăng phong tạo cực
3:900013|Đứng hàng đầu
3:900014|Thang trời đạt nhân
3:900015|Mê cung thủ vệ
3:900016|Lôi đài đạt nhân
3:900017|Tuyệt thế dũng giả
3:900018|Lôi đài vương giả
3:900019|Tam giới chung chủ
3:900020|Đại La Kim Tiên
3:900021|Thái Ất Chân Tiên
3:900022|Tiêu dao Tán Tiên
3:900023|Ngũ Cốc Phong Đăng
3:900024|Không làm thì không có ăn
3:900025|Vương giả chi đỉnh
3:900026|Trận đấu mùa giải truyền kỳ
3:900027|Trận đấu mùa giải vinh quang
3:1200001|Có một không hai
3:1200002|Siêu quần xuất chúng
3:1200003|Xuất trần
3:800001|Lục lâm du hiệp
3:800002|Vương giả chi phong
3:800003|Ưu nhã quý tộc
3:800004|Đăng phong tạo cực
3:800005|Lôi đài vương giả
3:800006|Mệnh lý đại sư
3:800007|Sách âm thanh leng keng
3:800008|Vinh quang vương giả
3:800009|Kim thu tháng mười
3:800010|Kim kha ngọc lá
3:800011|Phi long tại thiên
3:800012|Phượng Vũ Cửu Thiên
3:800013|bilibili Chuyên môn
3:800014|oppo Chuyên môn
3:800015|taptap Chuyên môn
3:800016|vivo Chuyên môn
3:800017|Hoa vì chuyên môn
3:800018|Chín du lịch chuyên môn
3:800019|Tiểu Mễ chuyên môn
3:800020|Ứng dụng bảo chuyên môn
3:800021|Quỷ ảnh trò chơi
3:800022|Thiên Diệp công xưởng
3:800032|Tài nguyên cuồn cuộn
3:1100001|Công thành đại sư
3:1100002|Mười bước một giết
3:1100003|Thành tấn tổn thương
3:1300001|Đỉnh phong
3:1300002|Trác tuyệt
3:1300003|Phong thái
3:700001|Đầu đường truyền thuyết
3:700002|Đầu đường truyền thuyết
3:700003|Đầu đường đường bá
3:700004|Đầu đường đường bá
3:700005|Tương lai chiến sĩ
3:700006|Ngọt ngào hoa hồng
3:700007|Săn tâm xạ thủ
3:700008|Ngày mùa hè tiệc tùng
3:700009|Bao nhiêu số luận
3:700010|Thần tượng luyện tập sinh
3:700011|Thỏ nữ lang
3:700012|Âm dương kiếm khách
3:700013|Ác linh dũng sĩ
3:700014|Manh trạch bảo bối
3:700015|Sáng Thế Thần
3:700016|Giáng Sinh bảo bối
3:700017|Băng sương long duệ
3:720001|Đầu đường truyền thuyết (7 Trời )
3:720002|Đầu đường đường bá (7 Trời )
3:720003|Tương lai chiến sĩ (7 Trời )
3:720004|Ngọt ngào hoa hồng (7 Trời )
3:720005|Săn tâm xạ thủ (7 Trời )
3:720006|Ngày mùa hè tiệc tùng (7 Trời )
3:720007|Bao nhiêu số luận (7 Trời )
3:720008|Thần tượng luyện tập sinh (7 Trời )
3:720009|Thỏ nữ lang (7 Trời )
3:720010|Âm dương kiếm khách (7 Trời )
3:720011|Ác linh dũng sĩ (7 Trời )
3:720012|Manh trạch bảo bối (7 Trời )
3:720013|Sáng Thế Thần (7 Trời )
3:710005|Tương lai chiến sĩ ( Mảnh vỡ )
3:710006|Đầu đường truyền thuyết ( Mảnh vỡ )
3:710007|Đầu đường đường bá ( Mảnh vỡ )
3:100052|Bánh chưng
3:100060|Điện thờ
3:100066|Nhân tộc huy chương
3:100067|Tiên Tộc huy chương
3:100068|Yêu tộc huy chương
3:100069|Thần tộc huy chương
3:100070|Ma tộc huy chương
3:100071|Tác chiến vật tư
3:100076|Phong thần khiến
3:100078|Năm nhân bánh Trung thu
3:100079|Trăm quả bánh Trung thu
3:100080|Trứng Hoàng Nguyệt bánh
3:100081|Chà bông bánh Trung thu
3:100082|Chiếu thư
3:100083|Linh năng kết tinh
3:100085|Mị ảnh châu
3:100086|Ngọn nến
3:100087|Nam Hồng Mã Não
3:100088|Mười ba hương
3:100090|Lá phong
3:100091|Bách lá
3:100092|Hạnh lá
3:100093|Lá phong đỏ
3:100094|Bách lá lục
3:100095|Hạnh lá hoàng
3:100097|Tước linh
3:100099|Tâm nguyện bình
3:100201|Thất thải vảy rồng
3:100202|Cẩm nang
3:100203|Công lao
3:100204|Tiên lộ
3:100205|Mạn Đà La
3:100206|Thiên Sơn tuyết liên
3:100207|Bàn đào
3:100218|Băng côn
3:100220|Luyện tập sách
3:100221|Phác nghiễn
3:100223|Bánh kẹo
3:500051|Chia sẻ hồng bao
3:200033|Chia sẻ điểm tích lũy
7:52000101|Ảnh nhận
7:54000101|Hỏa diễm vương miện
7:55000101|Tín ngưỡng
7:58000101|Hỗn độn thủy tinh
7:59000101|Bát Hoang huyết nhận
7:44000101|Rực lửa Kim Liên
7:51000101|Huyền Vũ phá Thiên Cung
3:700045|Ánh sáng chiến thần
3:700046|Phấn hồng thiên sứ
3:700047|Cơ giáp chiến thần
1:101401|Lý Tĩnh 5
1:101410|Lý Tĩnh 14
1:101501|Đặng Thiền Ngọc 5
1:101510|Đặng Thiền Ngọc 14
1:101601|Hằng Nga 5
1:101610|Hằng Nga 14
1:101701|Hậu Nghệ 5
1:101710|Hậu Nghệ 14
1:101801|Cơ Phát 5
1:101810|Cơ Phát 14
1:102001|Na Tra 5
1:102010|Na Tra 14
1:102101|Khương Tử Nha 5
1:102110|Khương Tử Nha 14
1:102201|Lôi Chấn Tử 5
1:102210|Lôi Chấn Tử 14
1:102301|Hoa Mộc Lan 5
1:102310|Hoa Mộc Lan 14
1:102401|Trầm hương 5
1:102410|Trầm hương 14
1:200902|Thái Bạch Kim Tinh 5
1:201002|Nguyệt lão 5
1:201102|Chức Nữ 5
1:201202|Hà Bá 5
1:201302|Vũ Sư 5
1:201401|Thiên Bồng nguyên soái 5
1:201410|Thiên Bồng nguyên soái 14
1:201501|Quyển Liêm Đại Tướng 5
1:201510|Quyển Liêm Đại Tướng 14
1:201601|Nam Cực tiên tử 5
1:201610|Nam Cực tiên tử 14
1:201701|Lộc duyên thượng tiên 5
1:201710|Lộc duyên thượng tiên 14
1:201801|Đấu Chiến Thắng Phật 5
1:201810|Đấu Chiến Thắng Phật 14
1:202001|Thông Thiên giáo chủ 5
1:202010|Thông Thiên giáo chủ 14
1:202101|Nguyên Thủy Thiên Tôn 5
1:202110|Nguyên Thủy Thiên Tôn 14
1:202201|Vân Trung Tử 5
1:202210|Vân Trung Tử 14
1:202301|Bạch long 5
1:202310|Bạch long 14
1:202401|Huyền Trang 5
1:202410|Huyền Trang 14
1:202501|Thổ địa 5
1:202510|Thổ địa 14
1:202601|Ẩu cơ 5
1:202610|Ẩu cơ 14
1:300902|Ngân giác đại vương 5
1:301002|Quỷ Tướng 5
1:301102|Kim Giác đại vương 5
1:301202|Bàn Tơ 5
1:301302|Dạ Xoa 5
1:301401|Hồng hài nhi 5
1:301410|Hồng hài nhi 14
1:301501|Thạch Cơ 5
1:301510|Thạch Cơ 14
1:301601|Hỗn Thiên Đại Thánh 5
1:301610|Hỗn Thiên Đại Thánh 14
1:301701|Ngưu Ma Vương 5
1:301710|Ngưu Ma Vương 14
1:301801|Giơ cao thương 5
1:301810|Giơ cao thương 14
1:301901|Kim Ô 5
1:301910|Kim Ô 14
1:302001|Ngao Bính 5
1:302010|Ngao Bính 14
1:302101|Bạch Cốt phu nhân 5
1:302110|Bạch Cốt phu nhân 14
1:302201|Ðát Kỷ 5
1:302210|Ðát Kỷ 14
1:302301|Khổng Tuyên 5
1:302310|Khổng Tuyên 14
1:302401|Man châu 5
1:302410|Man châu 14
1:400202|Dao Cơ 5
1:400302|Nữ Bạt 5
1:400402|Giám binh 5
1:400502|Lạc Thần 5
1:400601|Bàn Cổ 5
1:400610|Bàn Cổ 14
1:400701|Thần Nông 5
1:400710|Thần Nông 14
1:400801|Nữ Oa 5
1:400810|Nữ Oa 14
1:400901|Côn 5
1:400910|Côn 14
1:401001|Ngọc Đế 5
1:401010|Ngọc Đế 14
1:401201|Cộng Công 5
1:401210|Cộng Công 14
1:401301|Chúc Dung 5
1:401310|Chúc Dung 14
1:401401|Cửu Thiên Huyền Nữ 5
1:401410|Cửu Thiên Huyền Nữ 14
1:401501|Dương Tiễn 5
1:401510|Dương Tiễn 14
1:401601|Mẹ tổ 5
1:401610|Mẹ tổ 14
1:401701|Tam thánh mẫu 5
1:401710|Tam thánh mẫu 14
1:401801|Phách rồng 5
1:401810|Phách rồng 14
1:401901|Tây Vương Mẫu 5
1:401910|Tây Vương Mẫu 14
1:402001|Mai liễu thật 5
1:402010|Mai liễu thật 14
1:402101|Hồng Quân 5
1:402110|Hồng Quân 14
1:500202|Tham Lang 5
1:500302|Phá Quân 5
1:500402|Hắc vô thường 5
1:500502|Bạch vô thường 5
1:500601|Xi Vưu 5
1:500610|Xi Vưu 14
1:500701|Mạnh bà 5
1:500710|Mạnh bà 14
1:500801|Hình Thiên 5
1:500810|Hình Thiên 14
1:500901|Ma · Ngộ Không 5
1:500910|Ma · Ngộ Không 14
1:501001|Hoàng Tuyền 5
1:501010|Hoàng Tuyền 14
1:501101|Diêm Quân 5
1:501110|Diêm Quân 14
1:501201|Đông Hoàng Thái Nhất 5
1:501210|Đông Hoàng Thái Nhất 14
1:501301|Chúc Long 5
1:501310|Chúc Long 14
1:501401|Dạ Mị 5
1:501410|Dạ Mị 14
1:501501|Linh môi ma nữ 5
1:501510|Linh môi ma nữ 14
1:501601|Minh Hà 5
1:501610|Minh Hà 14
1:501701|Vô thiên 5
1:501710|Vô thiên 14
1:501801|Tu La 5
1:501810|Tu La 14
1:600101|Ảnh 5
1:600110|Ảnh 14
1:600201|Viêm 5
1:600210|Viêm 14
1:600301|Chỉ riêng 5
1:600310|Chỉ riêng 14
1:600401|Ngự 5
1:600410|Ngự 14
1:600501|Máu 5
1:600510|Máu 14
1:601201|Hỗn độn Hoa Mộc Lan 5
1:601210|Hỗn độn Hoa Mộc Lan 14
1:601301|Hỗn độn Khương Tử Nha 5
1:601310|Hỗn độn Khương Tử Nha 14
1:601401|Hỗn độn Lý Tĩnh 5
1:601410|Hỗn độn Lý Tĩnh 14
1:601501|Hỗn độn Hằng Nga 5
1:601510|Hỗn độn Hằng Nga 14
1:601601|Hỗn độn Minh Hà 5
1:601610|Hỗn độn Minh Hà 14
1:80111|Võ Thần thăng cảnh giới dùng
1:910010|Tuyệt thế · Võ Thần 14
3:510003|64 Vị anh hùng gói quà lớn
3:510004|12 Ức thay mặt tệ gói quà lớn
7:91000101|Bạo Thiên Tinh
